URL_Length,HTTPS,Has_At,Dot_Count,Is_Shortened,Digit_Count,Label
25,1,0,1,0,0,1
15,1,0,1,0,0,1
18,1,0,1,0,0,1
22,1,0,1,0,0,1
30,1,0,2,0,2,1
120,0,0,4,0,15,0
150,0,1,5,0,20,0
180,0,0,6,1,25,0
140,0,1,4,0,12,0
160,0,0,5,1,18,0
12,1,0,1,0,0,1
14,1,0,1,0,0,1
16,1,0,1,0,0,1
20,1,0,1,0,0,1
24,1,0,2,0,1,1
110,0,1,4,0,14,0
130,0,0,5,0,22,0
170,0,1,6,1,28,0
135,0,0,4,0,16,0
155,0,1,5,1,21,0
28,1,0,1,0,0,1
32,1,0,1,0,0,1
36,1,0,1,0,0,1
40,1,0,1,0,0,1
45,1,0,2,0,2,1
105,0,0,3,0,10,0
125,0,1,4,0,14,0
145,0,0,5,1,19,0
165,0,1,6,0,24,0
115,0,0,4,1,17,0
10,1,0,1,0,0,1
13,1,0,1,0,0,1
17,1,0,1,0,0,1
21,1,0,1,0,0,1
26,1,0,2,0,1,1
100,0,1,3,0,9,0
112,0,0,4,0,13,0
122,0,1,5,1,18,0
132,0,0,4,0,15,0
142,0,1,5,1,20,0
50,1,0,1,0,0,1
55,1,0,1,0,0,1
60,1,0,1,0,0,1
65,1,0,1,0,0,1
70,1,0,2,0,3,1
185,0,0,5,0,22,0
195,0,1,6,1,27,0
205,0,0,7,0,30,0
215,0,1,5,1,25,0
175,0,0,6,0,21,0
8,1,0,1,0,0,1
11,1,0,1,0,0,1
19,1,0,1,0,0,1
23,1,0,1,0,0,1
27,1,0,2,0,1,1
95,0,1,3,0,8,0
108,0,0,4,0,12,0
118,0,1,5,1,16,0
128,0,0,4,0,14,0
138,0,1,5,1,19,0
33,1,0,1,0,0,1
39,1,0,1,0,0,1
41,1,0,1,0,0,1
47,1,0,1,0,0,1
53,1,0,2,0,2,1
102,0,1,3,0,11,0
111,0,0,4,1,13,0
121,0,1,5,0,17,0
131,0,0,4,1,15,0
141,0,1,5,0,19,0
42,1,0,1,0,0,1
48,1,0,1,0,0,1
49,1,0,1,0,0,1
51,1,0,1,0,0,1
57,1,0,2,0,3,1
106,0,1,3,1,10,0
116,0,0,4,0,14,0
126,0,1,5,1,16,0
136,0,0,4,0,18,0
146,0,1,5,1,21,0
